|features 393.7807 598.9186 1000.2515 883.3207 393.7807 506.8403 169.9252 103.9406 77.8182 157.9456 184.6933 137.0003 176.1235 190.1051 78.5059 127.4946 57.7671 105.9855 146.3499 55.1635 96.0901 39.3937 76.0074 121.4706 0.10455 0.094612 0.066298 0.081895 0.036794 0.048969 4.153 131.389 1140 5 0 0 0 43 2 0 12 458 42 0 0 0 0 0 0 76 1262 52 0 0 0 0 0 0 122 2878 211 0 0 0 0 0 0 296 5776 84 0 0 43 0 0 0 126 1124 2 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0.23641 0.93511 0.24384 0.95718 1.7263 1 |labels 0
|features 483.9787 601.7438 774.7194 912.2431 483.9787 701.9108 208.8429 110.9521 78.0739 221.7942 205.8576 238.8119 168.4773 188.83 126.4512 106.1883 151.3752 61.424 85.3242 97.2153 74.122 124.6177 15.3293 47.5333 0.078019 0.060577 0.035319 0.044804 0.021085 0.029263 2.922 37.8136 15 7 0 0 0 0 0 0 7 2562 391 0 0 0 0 0 0 299 17752 1282 4 0 0 0 0 2 1163 25711 708 0 0 0 0 0 1 690 6717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079828 0.93085 0.31422 0.96025 2.4705 1 |labels 0
|features 465.6327 593.2311 1168.8556 1223.0371 465.6327 528.9991 209.6189 167.4982 135.7591 239.6301 201.2094 209.2102 221.9389 173.4972 201.6397 141.3554 196.3052 172.4388 108.4448 168.4735 102.7947 174.9694 131.9512 80.8795 0.31725 0.41836 0.24082 0.4133 0.13907 0.24673 4.1392 139.5644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 20 0 0 0 0 0 0 20 2589 240 0 0 0 0 0 0 315 4881 111 0 0 0 0 0 0 114 505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.092844 0.86739 0.39698 0.95358 1.7067 4 |labels 1
|features 1649.4791 1702.0568 1914.1228 1840.3503 1649.4791 1569.3919 140.6813 64.9442 54.1539 103.9893 203.8734 172.1208 232.9064 138.8231 32.8669 135.7321 88.8135 186.5391 53.1128 27.4507 121.1881 67.6397 183.3043 40.0408 0.088907 0.08805 0.061889 0.072818 0.028645 0.041864 2.7614 56.9135 0 0 0 0 0 0 0 0 0 2441 330 0 0 0 0 0 0 397 24954 1260 0 0 0 0 0 0 1355 18493 177 0 0 0 0 0 0 177 596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.073655 0.90219 0.38711 0.96317 1.4677 1 |labels 0
|features 572.6336 612.1487 768.704 246.3751 572.6336 151.3953 162.9758 136.8933 139.7527 143.3758 177.1255 76.9581 126.804 163.8107 107.1737 154.2265 44.2357 74.6776 139.568 151.9981 150.8334 136.9848 64.7056 132.0581 0.31558 0.48332 0.25818 0.515 0.1396 0.29319 7.7679 435.8943 325 0 0 0 0 30 3 0 0 0 2 0 0 0 0 0 0 1 209 37 0 0 0 0 0 0 29 166 50 0 0 0 0 0 0 37 3958 329 0 0 29 0 0 0 247 8452 46 0 4 0 0 0 0 45 63 0 0 0 0 0 0 0 0 0 0.18134 0.9009 0.44232 0.96681 1.4863 3 |labels 0
|features 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |labels 0
|features 225.3777 340.2395 598.8147 571.8964 225.3777 323.2227 222.4327 147.9613 110.716 242.5565 210.4952 222.4616 193.5827 232.6462 185.3074 127.6817 146.7943 100.4058 164.6532 150.796 90.0153 108.3787 67.4763 126.2624 0.11335 0.11458 0.074221 0.089734 0.041524 0.050595 2.7709 30.6461 0 0 0 0 0 0 0 0 0 134 86 5 0 0 0 0 0 85 3428 645 30 5 0 0 0 5 650 9897 1056 19 1 0 0 1 25 1012 15541 746 2 0 0 0 2 24 679 6429 89 0 0 0 0 1 1 80 207 0 0 0 0 0 0 0 0 0 0.13849 0.91866 0.23729 0.93529 1.4518 1 |labels 0
|features 836.9287 927.8572 1213.6881 876.1918 836.9287 649.3821 195.0361 142.7385 144.2685 204.937 215.0769 157.6004 192.9798 98.6271 153.3856 177.3123 91.1676 131.7506 41.1395 151.9057 177.9455 110.8701 126.383 77.7004 0.43033 0.33524 0.14271 0.33413 0.085819 0.1886 7.4057 356.5031 26677 0 0 0 0 60 0 0 0 60 31 60 21 0 0 0 0 41 139 37 69 30 0 0 0 55 41 70 25 90 0 0 0 16 77 26 62 135 2 0 44 0 29 87 141 8185 26 0 0 0 0 0 2 26 21 0 0 0 0 0 0 0 0 0 0.15833 0.98266 0.58826 0.98027 1.4411 4 |labels 0
|features 104.1358 165.9578 329.277 427.5382 104.1358 201.8427 193.4182 149.5203 121.3111 192.5416 197.6791 168.5658 202.7674 184.8445 146.2057 158.8261 105.5636 169.4914 129.7756 113.7661 133.8511 68.9573 150.8208 93.7376 0.15902 0.20596 0.12609 0.11793 0.073508 0.072249 3.497 143.4793 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 2 204 58 0 0 0 0 0 0 54 11009 420 0 0 0 0 0 0 332 6913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.045689 0.91298 0.46914 0.97716 1.9699 1 |labels 1
|features 1771.9079 2694.6853 4535.6063 4479.3008 1771.9079 2515.5601 208.2857 161.3948 127.8541 178.5242 246.8836 139.306 232.0044 205.934 99.8628 234.0609 61.7633 188.1945 146.6951 61.9745 206.9776 42.6176 142.8255 97.927 0.30846 0.39784 0.23944 0.31363 0.13854 0.17543 7.1423 500.9317 8548 27 1 0 0 3 6 63 23 728 188 0 0 0 0 0 2 148 3195 370 0 0 0 0 0 0 243 5714 450 0 0 0 0 0 0 258 4220 488 11 0 56 0 0 0 282 4252 323 9 195 0 0 0 11 144 1046 42 39 0 0 0 3 11 41 955 0.5279 0.93882 0.15083 0.94216 1.2498 1 |labels 0
|features 471.813 435.9061 434.9823 329.8975 471.813 306.1192 149.6074 114.6651 94.8606 132.2971 166.6351 116.0228 148.2779 184.4818 98.8373 129.4214 82.1176 112.4112 151.2231 83.8465 104.5084 68.2153 93.765 123.087 0.12554 0.1011 0.094564 0.047484 0.051846 0.031741 2.9954 55.1371 0 0 0 0 0 0 0 0 0 91 47 4 1 0 0 0 0 60 1829 404 4 0 0 0 0 3 489 13259 727 3 0 0 0 1 2 792 4791 118 0 0 0 0 0 3 118 322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1235 0.85326 0.38299 0.93967 1.785 1 |labels 1
|features 2524.2679 1807.9297 1570.098 1441.2155 2524.2679 1364.3888 82.5775 63.9433 55.5086 133.0352 13.3855 99.8099 254.2525 81.0297 91.3782 13.3859 98.5069 254.096 54.5251 64.2196 13.7644 107.2363 254.4627 44.2906 0.35708 0.4839 0.046428 0.0079914 0.003536 0.0034146 16.3372 813.845 7649 17 0 5 0 0 0 2 16 934 19 0 0 0 0 0 0 18 895 22 0 0 0 0 6 0 17 957 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 64 0.038208 0.98454 0.54115 0.99367 1.0759 4 |labels 0
|features 264.6488 451.7567 876.6234 1063.955 264.6488 533.2171 203.5065 142.1206 122.4343 206.8336 180.2263 224.7491 195.587 218.8874 145.5152 102.0751 190.946 124.3537 168.8351 123.4092 77.3942 187.0189 98.9063 154.301 0.16759 0.29222 0.12661 0.27946 0.064723 0.10539 4.3598 87.5481 8 8 0 0 0 0 0 0 8 1013 327 0 0 0 0 0 0 326 5294 276 0 0 0 0 0 0 327 1547 6 2 0 0 0 0 0 6 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14259 0.80205 0.38017 0.92955 1.7201 2 |labels 0
|features 1021.2473 1388.6159 2038.1131 1927.3156 1021.2473 1219.7994 159.1193 120.8949 108.3678 182.1501 112.6343 164.6841 137.0856 220.9475 156.8157 52.5617 117.2332 95.2663 213.5084 143.0749 30.7384 82.5496 139.9405 227.1788 0.3971 0.43719 0.14683 0.31889 0.054688 0.15179 3.1502 55.5959 2022 453 0 0 0 0 0 0 458 8968 81 0 0 0 0 0 0 66 530 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.084552 0.81133 0.53815 0.95772 1.5529 3 |labels 0
|features 600.9105 613.4825 742.9299 559.0632 600.9105 421.2586 158.7347 112.9557 105.1449 161.908 208.7923 172.6523 95.4971 138.1457 111.3228 181.1179 132.7765 50.1008 87.9651 100.8174 175.7801 122.4153 69.1438 80.424 0.088531 0.088996 0.048424 0.050832 0.011817 0.018758 3.129 51.5492 7009 589 0 4 1 0 0 0 584 39753 3264 2 0 0 0 0 0 3258 85616 5166 4 0 0 0 0 2 5406 313913 6981 2 0 0 0 0 11 7067 37265 193 4 0 0 0 0 10 219 300 87 1 0 0 0 0 6 101 171 30 0 0 0 0 0 2 36 85 0.064216 0.95128 0.40782 0.96805 5.8572 1 |labels 0
|features 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |labels 0
|features 831.4455 867.9091 1072.9562 974.319 831.4455 720.0665 155.4726 99.9629 68.3336 188.222 160.4749 86.7548 174.365 142.4008 149.1828 98.7692 43.2204 125.8148 74.6799 125.366 58.884 31.2771 88.1805 43.952 0.10237 0.084443 0.066478 0.07297 0.046504 0.049365 1.7514 25.4711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15542 1424 0 0 0 0 0 0 1463 42110 485 0 0 0 0 0 0 533 8271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.055923 0.92128 0.4282 0.97204 1.9507 1 |labels 0
|features 54.1165 46.8569 156.6443 228.1005 54.1165 31.4536 176.2732 162.8731 150.9912 177.714 167.9898 177.9608 167.6996 184.7504 149.5984 130.7019 171.4163 161.1669 165.9321 125.3183 103.6856 165.4015 155.33 146.5429 0.22725 0.43316 0.20525 0.35977 0.095659 0.13849 3.2071 73.1373 0 3 0 0 0 0 0 0 3 434 160 0 0 0 0 0 0 156 5164 102 0 0 0 0 0 0 108 406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.081395 0.76182 0.63419 0.9593 2.2924 3 |labels 0
|features 564.2572 777.9124 1247.1664 1315.8956 564.2572 776.7257 130.0533 75.2194 56.0147 152.7452 146.0132 119.1185 93.5896 135.9784 118.9023 95.573 46.7168 30.2919 69.0323 104.961 77.163 21.9779 14.1488 40.4567 0.3177 0.49998 0.077046 0.14124 0.066985 0.11028 1.869 25.8757 14397 183 0 0 0 0 0 0 165 555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022745 0.74944 0.88702 0.98863 1.6114 4 |labels 0
|features 615.6009 734.515 1129.681 904.7422 615.6009 582.9999 208.6494 139.1076 91.1592 212.3044 236.9746 159.0782 226.3842 192.7632 137.5597 195.9622 81.4805 161.159 113.8429 89.4146 140.3304 47.5692 111.6118 65.2058 0.10868 0.11281 0.088585 0.09382 0.055653 0.058788 2.8514 97.9787 0 0 0 0 0 0 0 0 0 298 48 0 0 0 0 0 0 79 3068 128 0 0 0 0 0 0 217 11143 534 0 0 0 0 0 0 567 11425 126 0 0 0 0 0 0 126 805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.063892 0.94675 0.32548 0.96805 1.3098 1 |labels 0
|features 2733.5298 2431.1892 2553.1183 2285.1496 2733.5298 2037.3177 150.8182 79.5356 56.2814 87.2256 233.9315 177.9283 136.5861 205.5422 33.342 187.6331 88.3511 52.7725 128.2791 20.8629 164.068 54.1449 31.3724 94.4684 0.14668 0.15274 0.11693 0.099441 0.063018 0.047935 2.5157 75.4614 13444 3141 0 0 0 0 0 0 3233 123374 2500 3 0 0 0 0 0 2616 30933 335 8 0 0 0 0 2 335 684 50 2 0 0 0 0 8 50 42 0 2 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 2 1 0 4 0.068759 0.88473 0.50162 0.96596 1.826 1 |labels 0
|features 1188.2907 1258.8453 1467.2741 1359.5201 1188.2907 1118.4608 185.8041 165.3698 151.1611 147.0396 215.5712 174.3312 94.3097 198.9301 117.4783 201.5696 151.899 65.1227 178.8448 104.6355 185.3122 139.1583 59.5769 163.1457 0.051547 0.051356 0.068548 0.054934 0.052445 0.043397 4.3227 90.3115 2 12 0 0 0 0 0 0 11 980 87 3 0 0 0 0 1 71 216 108 9 1 0 0 0 14 69 184 100 12 4 0 0 3 31 65 900 186 8 0 0 3 0 13 144 2270 380 0 0 0 1 0 3 290 17022 810 0 0 0 0 0 0 761 10108 0.10338 0.9676 0.32914 0.95359 1.2991 1 |labels 0
